Overall Word Counts in Der Tod des Vergil by Hermann Broch,,
Total Number of Instances,Word,As Percentage of All Words in Novel
17,daneben,0.01%
17,böse,0.01%
17,beider,0.01%
17,aufwärts,0.01%
17,aufgenommen,0.01%
17,arme,0.01%
17,andes,0.01%
17,allzu,0.01%
16,zweiten,0.01%
16,zwei,0.01%
16,würden,0.01%
16,wohin,0.01%
16,wiederkehr,0.01%
16,werdend,0.01%
16,vollkommen,0.01%
16,vieles,0.01%
16,unmittelbar,0.01%
16,türe,0.01%
16,stück,0.01%
16,scharf,0.01%
16,ruhte,0.01%
16,ruf,0.01%
16,reicht,0.01%
16,möge,0.01%
16,lächelte,0.01%
16,lichte,0.01%
16,laß,0.01%
16,kommt,0.01%
16,irgend,0.01%
16,heraus,0.01%
16,heißt,0.01%
16,gib,0.01%
16,geöffneten,0.01%
16,gemeinsam,0.01%
16,geist,0.01%
16,ewigen,0.01%
16,erkenntnisgrund,0.01%
16,erhalten,0.01%
16,enthoben,0.01%
16,einziger,0.01%
16,eingebettet,0.01%
16,deshalb,0.01%
16,denken,0.01%
16,darob,0.01%
16,bette,0.01%
16,behaupten,0.01%
16,ausdruck,0.01%
16,athen,0.01%
16,alexis,0.01%
15,zerknirschung,0.01%
15,wortes,0.01%
15,wirkliche,0.01%
15,wartete,0.01%
15,vorneherein,0.01%
15,verwehrt,0.01%
15,vernichten,0.01%
15,verlustig,0.01%
15,vereint,0.01%
15,tiefsten,0.01%
15,stärker,0.01%
15,strahlend,0.01%
15,sterblich,0.01%
15,standen,0.01%
15,soweit,0.01%
15,setzte,0.01%
15,seiende,0.01%
15,schiffe,0.01%
15,ruht,0.01%
15,ruhig,0.01%
15,regungslos,0.01%
15,raumes,0.01%
15,offenbar,0.01%
15,nirgendwo,0.01%
15,mögen,0.01%
15,menschlichkeit,0.01%
15,meere,0.01%
15,mal,0.01%
15,los,0.01%
15,land,0.01%
15,lagen,0.01%
15,klarheit,0.01%
15,kamen,0.01%
15,ineinander,0.01%
15,helle,0.01%
15,haus,0.01%
15,grunde,0.01%
15,gilt,0.01%
15,gezwungen,0.01%
15,getrieben,0.01%
15,gestalten,0.01%
15,fuhr,0.01%
15,fieber,0.01%
15,erkannt,0.01%
15,enttäuschung,0.01%
15,endgültig,0.01%
15,emporgehoben,0.01%
15,dahinter,0.01%
15,brundisium,0.01%
15,bloßen,0.01%
15,bereich,0.01%
15,auftrag,0.01%
15,anbeginn,0.01%
15,alten,0.01%
15,absturz,0.01%
15,abgeschieden,0.01%
14,äschylos,0.01%
14,zwischenreich,0.01%
14,zog,0.01%
14,weisheit,0.01%
14,weile,0.01%
14,weiber,0.01%
14,vorhof,0.01%
14,vielfalt,0.01%
14,unstimmig,0.01%
14,ungeachtet,0.01%
14,unermeßlich,0.01%
14,unbeweglich,0.01%
14,umgeben,0.01%
14,trägt,0.01%
14,träger,0.01%
14,tatsächlich,0.01%
14,stunde,0.01%
14,strahlung,0.01%
14,steinern,0.01%
14,staate,0.01%
14,spüren,0.01%
14,schönen,0.01%
14,schwebenden,0.01%
14,samt,0.01%
14,raume,0.01%
14,rasch,0.01%
14,pflanze,0.01%
14,obschon,0.01%
14,nächtlichen,0.01%
14,notwendig,0.01%
14,nimm,0.01%
14,nichtsdestoweniger,0.01%
14,neuerlich,0.01%
14,nahm,0.01%
14,mäcenas,0.01%
14,meinst,0.01%
14,meines,0.01%
14,magst,0.01%
14,lärm,0.01%
14,luft,0.01%
14,künstler,0.01%
14,kleine,0.01%
14,kandelaber,0.01%
14,irgendwo,0.01%
14,hart,0.01%
14,halten,0.01%
14,gezeiten,0.01%
14,gewußt,0.01%
14,gesprochen,0.01%
14,gespannt,0.01%
14,gemeinsamen,0.01%
14,gemeinsame,0.01%
14,gelangen,0.01%
14,geheimnis,0.01%
14,geführt,0.01%
14,gefilde,0.01%
14,gefahr,0.01%
14,furchtbar,0.01%
14,fremd,0.01%
14,fand,0.01%
14,einsgeworden,0.01%
14,eingesenkt,0.01%
14,einfach,0.01%
14,eigen,0.01%
14,dickicht,0.01%
14,deutlich,0.01%
14,charondas,0.01%
14,bloße,0.01%
14,blieben,0.01%
14,bisher,0.01%
14,bauer,0.01%
14,ausgang,0.01%
14,aufgerichtet,0.01%
14,aufbewahrt,0.01%
13,zweig,0.01%
13,zuletzt,0.01%
13,zuerst,0.01%
13,zart,0.01%
13,werkes,0.01%
13,wellen,0.01%
13,wehe,0.01%
13,wachsenden,0.01%
13,wachsen,0.01%
13,verändert,0.01%
13,verlangt,0.01%
13,unseres,0.01%
13,ungeduld,0.01%
13,unermeßlichen,0.01%
13,trost,0.01%
13,stellte,0.01%
13,stammt,0.01%
13,spiegelnd,0.01%
13,sollten,0.01%
13,sobald,0.01%
13,schöne,0.01%
13,schultern,0.01%
13,schlug,0.01%
13,rausch,0.01%
13,rande,0.01%
13,nächte,0.01%
13,nimmer,0.01%
13,neu,0.01%
13,namens,0.01%
13,müdigkeit,0.01%
13,müde,0.01%
13,möchte,0.01%
13,mußten,0.01%
13,morgen,0.01%
